Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
5e-06,SJTU_519030,Tick,0,0,0,0,,,0,0,0,OK
5e-06,TradeGPT_42,Tick,0,0,0,0,,,0,0,0,OK
5e-06,jgia_53550,Tick,0,0,0,0,,,0,0,0,OK
5e-06,nb_933756,Tick,0,0,0,0,,,0,0,0,OK
5e-06,Shara_160601,Tick,0,0,0,0,,,0,0,0,OK
5e-06,Galactus_22625,Tick,0,0,0,0,,,0,0,0,OK
5e-06,ArtifactsUnion_11234,Tick,0,0,0,0,,,0,0,0,OK
0.232186,SJTU_519030,Tick,0,0,0,0,,,0,0,0,OK
0.232186,TradeGPT_42,Tick,0,0,0,0,,,0,0,0,OK
0.232186,jgia_53550,Tick,0,0,0,0,,,0,0,0,OK
0.232186,nb_933756,Tick,0,0,0,0,,,0,0,0,OK
0.232186,Shara_160601,Tick,0,0,0,0,,,0,0,0,OK
0.232186,Galactus_22625,Tick,0,0,0,0,,,0,0,0,OK
0.232186,ArtifactsUnion_11234,Tick,0,0,0,0,,,0,0,0,OK
0.537207,SJTU_519030,Tick,0,0,0,0,140800,,0,0,0,OK
0.537207,TradeGPT_42,Tick,0,0,0,0,140800,,0,0,0,OK
0.537207,jgia_53550,Tick,0,33,-33,33,140800,,-465,10365,10365,OK
0.537207,nb_933756,Tick,0,0,0,0,140800,,0,0,0,OK
0.537207,Shara_160601,Tick,33,0,33,-33,140800,,929,-17429,-17429,OK
0.537207,Galactus_22625,Tick,0,0,0,0,140800,,0,0,0,OK
0.537207,ArtifactsUnion_11234,Tick,0,0,0,0,140800,,0,0,0,OK
0.755584,SJTU_519030,Tick,0,0,0,0,140800,,0,0,0,OK
0.755584,TradeGPT_42,Tick,0,0,0,0,140800,,0,0,0,OK
0.755584,jgia_53550,Tick,0,33,-33,33,140800,,-465,10365,10365,OK
0.755584,nb_933756,Tick,0,0,0,0,140800,,0,0,0,OK
0.755584,Shara_160601,Tick,33,0,33,-33,140800,,929,-17429,-17429,OK
0.755584,Galactus_22625,Tick,0,0,0,0,140800,,0,0,0,OK
0.755584,ArtifactsUnion_11234,Tick,0,0,0,0,140800,,0,0,0,OK
0.955899,SJTU_519030,Tick,0,0,0,0,140800,,0,0,0,OK
0.955899,TradeGPT_42,Tick,0,0,0,0,140800,,0,0,0,OK
0.955899,jgia_53550,Tick,0,33,-33,33,140800,,-465,10365,10365,OK
0.955899,nb_933756,Tick,0,0,0,0,140800,,0,0,0,OK
0.955899,Shara_160601,Tick,33,0,33,-33,140800,,929,-17429,-17429,OK
0.955899,Galactus_22625,Tick,0,0,0,0,140800,,0,0,0,OK
0.955899,ArtifactsUnion_11234,Tick,0,0,0,0,140800,,0,0,0,OK
1.20901,SJTU_519030,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.20901,TradeGPT_42,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.20901,jgia_53550,Tick,0,33,-33,33,140800,140400,-465,10365,1092,OK
1.20901,nb_933756,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.20901,Shara_160601,Tick,33,0,33,-33,140800,140400,929,-17429,-8156,OK
1.20901,Galactus_22625,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.20901,ArtifactsUnion_11234,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.50272,SJTU_519030,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.50272,TradeGPT_42,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.50272,jgia_53550,Tick,0,33,-33,33,140800,140400,-465,10365,1092,OK
1.50272,nb_933756,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.50272,Shara_160601,Tick,33,0,33,-33,140800,140400,929,-17429,-8156,OK
1.50272,Galactus_22625,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.50272,ArtifactsUnion_11234,Tick,0,0,0,0,140800,140400,0,0,0,OK
1.798839,SJTU_519030,Tick,0,10,-10,10,141000,140400,-140,140,-2670,OK
1.798839,TradeGPT_42,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.798839,jgia_53550,Tick,0,66,-66,66,141000,140400,-930,24030,5484,OK
1.798839,nb_933756,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.798839,Shara_160601,Tick,33,0,33,-33,141000,140400,929,-17429,-8156,OK
1.798839,Galactus_22625,Tick,0,72,-72,0,141000,140400,-1014,10145814,16782,OK
1.798839,ArtifactsUnion_11234,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.959042,SJTU_519030,Tick,0,10,-10,10,141000,140400,-140,140,-2670,OK
1.959042,TradeGPT_42,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.959042,jgia_53550,Tick,0,66,-66,66,141000,140400,-930,24030,5484,OK
1.959042,nb_933756,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.959042,Shara_160601,Tick,33,0,33,-33,141000,140400,929,-17429,-8156,OK
1.959042,Galactus_22625,Tick,0,72,-72,3,141000,140400,-1014,9724314,16482,OK
1.959042,ArtifactsUnion_11234,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.293847,SJTU_519030,Tick,0,13,-13,13,140500,140400,-182,182,-1118,OK
2.293847,TradeGPT_42,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.293847,jgia_53550,Tick,0,66,-66,66,140500,140400,-930,24030,17430,OK
2.293847,nb_933756,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.293847,Shara_160601,Tick,33,0,33,-33,140500,140400,929,-17429,-14129,OK
2.293847,Galactus_22625,Tick,0,72,-72,6,140500,140400,-1014,9302814,29214,OK
2.293847,ArtifactsUnion_11234,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.518343,SJTU_519030,Tick,0,13,-13,13,140500,140600,-182,182,1482,OK
2.518343,TradeGPT_42,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.518343,jgia_53550,Tick,0,66,-66,66,140500,140600,-930,24030,30630,OK
2.518343,nb_933756,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.518343,Shara_160601,Tick,33,0,33,-33,140500,140600,929,-17429,-20729,OK
2.518343,Galactus_22625,Tick,0,72,-72,9,140500,140600,-1014,8881314,30714,OK
2.518343,ArtifactsUnion_11234,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.795387,SJTU_519030,Tick,0,23,-23,23,141100,140600,-323,323,-6140,OK
2.795387,TradeGPT_42,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.795387,jgia_53550,Tick,0,66,-66,66,141100,140600,-930,24030,5484,OK
2.795387,nb_933756,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.795387,Shara_160601,Tick,33,0,33,-33,141100,140600,929,-17429,-8156,OK
2.795387,Galactus_22625,Tick,0,72,-72,12,141100,140600,-1014,8459514,3282,OK
2.795387,ArtifactsUnion_11234,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.962572,SJTU_519030,Tick,0,23,-23,23,141100,140600,-323,323,-6140,OK
2.962572,TradeGPT_42,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.962572,jgia_53550,Tick,0,66,-66,66,141100,140600,-930,24030,5484,OK
2.962572,nb_933756,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.962572,Shara_160601,Tick,33,0,33,-33,141100,140600,929,-17429,-8156,OK
2.962572,Galactus_22625,Tick,0,72,-72,15,141100,140600,-1014,8037714,3282,OK
2.962572,ArtifactsUnion_11234,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.241871,SJTU_519030,Tick,0,23,-23,23,141100,140600,-323,323,-6140,OK
3.241871,TradeGPT_42,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.241871,jgia_53550,Tick,0,66,-66,66,141100,140600,-930,24030,5484,OK
3.241871,nb_933756,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.241871,Shara_160601,Tick,33,0,33,-33,141100,140600,929,-17429,-8156,OK
3.241871,Galactus_22625,Tick,0,72,-72,18,141100,140600,-1014,7615914,3282,OK
3.241871,ArtifactsUnion_11234,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.469624,SJTU_519030,Tick,10,23,-13,13,140600,140600,-464,-1536,-1536,OK
3.469624,TradeGPT_42,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.469624,jgia_53550,Tick,0,66,-66,66,140600,140600,-930,24030,24030,OK
3.469624,nb_933756,Tick,0,10,-10,10,140600,140600,281,719,719,OK
3.469624,Shara_160601,Tick,33,0,33,-33,140600,140600,929,-17429,-17429,OK
3.469624,Galactus_22625,Tick,0,72,-72,21,140600,140600,-1014,7194414,23814,OK
3.469624,ArtifactsUnion_11234,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.731609,SJTU_519030,Tick,10,23,-13,13,140600,140600,-464,-1536,-1536,OK
3.731609,TradeGPT_42,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.731609,jgia_53550,Tick,0,66,-66,66,140600,140600,-930,24030,24030,OK
3.731609,nb_933756,Tick,0,10,-10,10,140600,140600,281,719,719,OK
3.731609,Shara_160601,Tick,33,0,33,-33,140600,140600,929,-17429,-17429,OK
3.731609,Galactus_22625,Tick,0,72,-72,24,140600,140600,-1014,6772914,24114,OK
3.731609,ArtifactsUnion_11234,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.991476,SJTU_519030,Tick,10,23,-13,13,140600,140600,-464,-1536,-1536,OK
3.991476,TradeGPT_42,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.991476,jgia_53550,Tick,0,66,-66,66,140600,140600,-930,24030,24030,OK
3.991476,nb_933756,Tick,0,10,-10,10,140600,140600,281,719,719,OK
3.991476,Shara_160601,Tick,33,0,33,-33,140600,140600,929,-17429,-17429,OK
3.991476,Galactus_22625,Tick,0,72,-72,27,140600,140600,-1014,6350814,23814,OK
3.991476,ArtifactsUnion_11234,Tick,0,0,0,0,140600,140600,0,0,0,OK
4.271868,SJTU_519030,Tick,10,33,-23,23,141200,140600,-605,-1395,-7858,OK
4.271868,TradeGPT_42,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.271868,jgia_53550,Tick,0,99,-99,99,141200,140600,-1395,34395,6576,OK
4.271868,nb_933756,Tick,0,10,-10,10,141200,140600,281,719,-2091,OK
4.271868,Shara_160601,Tick,33,0,33,-33,141200,140600,929,-17429,-8156,OK
4.271868,Galactus_22625,Tick,0,100,-100,30,141200,140600,-1409,9880209,10109,OK
4.271868,ArtifactsUnion_11234,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.546936,SJTU_519030,Tick,10,33,-23,23,141200,140500,-605,-1395,-7858,OK
4.546936,TradeGPT_42,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.546936,jgia_53550,Tick,0,99,-99,99,141200,140500,-1395,34395,6576,OK
4.546936,nb_933756,Tick,0,10,-10,10,141200,140500,281,719,-2091,OK
4.546936,Shara_160601,Tick,33,0,33,-33,141200,140500,929,-17429,-8156,OK
4.546936,Galactus_22625,Tick,0,100,-100,33,141200,140500,-1409,9458409,16809,OK
4.546936,ArtifactsUnion_11234,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.718357,SJTU_519030,Tick,10,33,-23,23,141200,140500,-605,-1395,-7858,OK
4.718357,TradeGPT_42,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.718357,jgia_53550,Tick,0,99,-99,99,141200,140500,-1395,34395,6576,OK
4.718357,nb_933756,Tick,0,10,-10,10,141200,140500,281,719,-2091,OK
4.718357,Shara_160601,Tick,33,0,33,-33,141200,140500,929,-17429,-8156,OK
4.718357,Galactus_22625,Tick,0,100,-100,36,141200,140500,-1409,9036309,16209,OK
4.718357,ArtifactsUnion_11234,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.976538,SJTU_519030,Tick,10,33,-23,23,140500,140500,-605,-1395,-1395,OK
4.976538,TradeGPT_42,Tick,0,0,0,0,140500,140500,0,0,0,OK
4.976538,jgia_53550,Tick,0,99,-99,99,140500,140500,-1395,34395,34395,OK
4.976538,nb_933756,Tick,0,10,-10,10,140500,140500,281,719,719,OK
4.976538,Shara_160601,Tick,33,0,33,-33,140500,140500,929,-17429,-17429,OK
4.976538,Galactus_22625,Tick,54,100,-46,39,140500,140500,-2168,1028268,44768,OK
4.976538,ArtifactsUnion_11234,Tick,0,0,0,0,140500,140500,0,0,0,OK
5.284895,SJTU_519030,Tick,10,33,-23,23,140500,140400,-605,-1395,-3695,OK
5.284895,TradeGPT_42,Tick,0,0,0,0,140500,140400,0,0,0,OK
5.284895,jgia_53550,Tick,0,99,-99,99,140500,140400,-1395,34395,24495,OK
5.284895,nb_933756,Tick,0,10,-10,10,140500,140400,281,719,-281,OK
5.284895,Shara_160601,Tick,33,0,33,-33,140500,140400,929,-17429,-14129,OK
5.284895,Galactus_22625,Tick,54,100,-46,42,140500,140400,-2168,607068,40868,OK
5.284895,ArtifactsUnion_11234,Tick,0,0,0,0,140500,140400,0,0,0,OK
5.478187,SJTU_519030,Tick,13,33,-20,20,140400,140400,-647,-1953,-1953,OK
5.478187,TradeGPT_42,Tick,0,0,0,0,140400,140400,0,0,0,OK
5.478187,jgia_53550,Tick,0,99,-99,99,140400,140400,-1395,34395,34395,OK
5.478187,nb_933756,Tick,0,10,-10,10,140400,140400,281,719,719,OK
5.478187,Shara_160601,Tick,33,0,33,-33,140400,140400,929,-17429,-17429,OK
5.478187,Galactus_22625,Tick,54,100,-46,45,140400,140400,-2168,185868,45468,OK
5.478187,ArtifactsUnion_11234,Tick,0,0,0,0,140400,140400,0,0,0,OK
5.755287,SJTU_519030,Tick,13,33,-20,20,140600,140400,-647,-1953,-5953,OK
5.755287,TradeGPT_42,Tick,0,0,0,0,140600,140400,0,0,0,OK
5.755287,jgia_53550,Tick,0,99,-99,99,140600,140400,-1395,34395,14595,OK
5.755287,nb_933756,Tick,0,65,-65,65,140600,140400,647,8553,-4447,OK
5.755287,Shara_160601,Tick,33,0,33,-33,140600,140400,929,-17429,-10829,OK
5.755287,Galactus_22625,Tick,54,100,-46,46,140600,140400,-2168,45468,36268,OK
