Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
1.2e-05,Spread Diver,Tick,0,0,0,0,,,0,0,0,OK
1.2e-05,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.205954,Spread Diver,Tick,0,0,0,0,,,0,0,0,OK
0.205954,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.459177,Spread Diver,Tick,0,0,0,0,,,0,0,0,OK
0.459177,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.718995,Spread Diver,Tick,0,0,0,0,147900,,0,0,0,OK
0.718995,TraderOne,Tick,6,72,-66,0,147900,,-268,9824468,9824468,OK
1.011132,Spread Diver,Tick,0,0,0,0,147900,148400,0,0,0,OK
1.011132,TraderOne,Tick,6,72,-66,1,147900,148400,-268,9675968,43168,OK
1.235381,Spread Diver,Tick,15,0,15,-15,148100,148700,-222,10722,7722,OK
1.235381,TraderOne,Tick,6,72,-66,2,148100,148700,-268,9527368,23768,OK
1.470541,Spread Diver,Tick,15,0,15,-15,148100,148800,-222,10722,7722,OK
1.470541,TraderOne,Tick,6,72,-66,3,148100,148800,-268,9378468,17268,OK
1.786369,Spread Diver,Tick,15,0,15,-15,148100,148800,-222,10722,7722,OK
1.786369,TraderOne,Tick,6,72,-66,4,148100,148800,-268,9229568,17168,OK
2.029705,Spread Diver,Tick,15,0,15,-15,148900,148800,-222,10722,12222,OK
2.029705,TraderOne,Tick,6,88,-82,5,148900,148800,-506,11463406,-2394,OK
2.291752,Spread Diver,Tick,15,0,15,-15,148900,148800,-222,10722,12222,OK
2.291752,TraderOne,Tick,6,98,-92,6,148900,148800,-655,12803855,-2145,OK
2.495922,Spread Diver,Tick,15,0,15,-15,148900,148800,-222,10722,12222,OK
2.495922,TraderOne,Tick,6,98,-92,7,148900,148800,-655,12655155,-2045,OK
2.734,Spread Diver,Tick,15,0,15,-15,148900,148800,-222,10722,12222,OK
2.734,TraderOne,Tick,6,98,-92,8,148900,148800,-655,12506455,-1945,OK
