Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.000004,JankyTraders_4444,Tick,0,0,0,0,,,0,0,0,OK
0.000004,BurntSushi_35107,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Galactus_22625,Tick,0,0,0,0,,,0,0,0,OK
0.000004,Fibar_91810,Tick,0,0,0,0,,,0,0,0,OK
0.203070,JankyTraders_4444,Tick,0,0,0,0,,127900,0,0,0,OK
0.203070,BurntSushi_35107,Tick,0,0,0,0,,127900,0,0,0,OK
0.203070,Galactus_22625,Tick,0,0,0,0,,127900,0,0,0,OK
0.203070,Fibar_91810,Tick,0,0,0,0,,127900,0,0,0,OK
0.518495,JankyTraders_4444,Tick,0,0,0,0,,128000,0,0,0,OK
0.518495,BurntSushi_35107,Tick,0,0,0,0,,128000,0,0,0,OK
0.518495,Galactus_22625,Tick,0,0,0,0,,128000,0,0,0,OK
0.518495,Fibar_91810,Tick,0,0,0,0,,128000,0,0,0,OK
0.798575,JankyTraders_4444,Tick,10,0,10,-10,127800,128000,256,744,-1256,OK
0.798575,BurntSushi_35107,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.798575,Galactus_22625,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.798575,Fibar_91810,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.951549,JankyTraders_4444,Tick,30,0,30,-30,127800,128000,768,2232,-3768,OK
0.951549,BurntSushi_35107,Tick,0,0,0,0,127800,128000,0,0,0,OK
0.951549,Galactus_22625,Tick,7,15,-8,0,127800,128000,-281,1024781,2381,OK
0.951549,Fibar_91810,Tick,0,0,0,0,127800,128000,0,0,0,OK
1.255830,JankyTraders_4444,Tick,30,0,30,-30,127800,128400,768,2232,-3768,OK
1.255830,BurntSushi_35107,Tick,0,0,0,0,127800,128400,0,0,0,OK
1.255830,Galactus_22625,Tick,7,15,-8,1,127800,128400,-281,896781,-419,OK
1.255830,Fibar_91810,Tick,0,0,0,0,127800,128400,0,0,0,OK
1.468876,JankyTraders_4444,Tick,30,0,30,-30,127700,128400,768,2232,-3768,OK
